,CAN_A01_02,CAN_A03,CAN_B05_06,CAN_B07_08,CAN_B09,CAN_C10T12,CAN_C13T15,CAN_C16,CAN_C17_18,CAN_C19,CAN_C20,CAN_C21,CAN_C22,CAN_C23,CAN_C24,CAN_C25,CAN_C26,CAN_C27,CAN_C28,CAN_C29,CAN_C30,CAN_C31T33,CAN_D,CAN_E,CAN_F,CAN_G,CAN_H49,CAN_H50,CAN_H51,CAN_H52,CAN_H53,CAN_I,CAN_J58T60,CAN_J61,CAN_J62_63,CAN_K,CAN_L,CAN_M,CAN_N,CAN_O,CAN_P,CAN_Q,CAN_R,CAN_S,CAN_T,CHN_A01_02,CHN_A03,CHN_B05_06,CHN_B07_08,CHN_B09,CHN_C10T12,CHN_C13T15,CHN_C16,CHN_C17_18,CHN_C19,CHN_C20,CHN_C21,CHN_C22,CHN_C23,CHN_C24,CHN_C25,CHN_C26,CHN_C27,CHN_C28,CHN_C29,CHN_C30,CHN_C31T33,CHN_D,CHN_E,CHN_F,CHN_G,CHN_H49,CHN_H50,CHN_H51,CHN_H52,CHN_H53,CHN_I,CHN_J58T60,CHN_J61,CHN_J62_63,CHN_K,CHN_L,CHN_M,CHN_N,CHN_O,CHN_P,CHN_Q,CHN_R,CHN_S,CHN_T,DEU_A01_02,DEU_A03,DEU_B05_06,DEU_B07_08,DEU_B09,DEU_C10T12,DEU_C13T15,DEU_C16,DEU_C17_18,DEU_C19,DEU_C20,DEU_C21,DEU_C22,DEU_C23,DEU_C24,DEU_C25,DEU_C26,DEU_C27,DEU_C28,DEU_C29,DEU_C30,DEU_C31T33,DEU_D,DEU_E,DEU_F,DEU_G,DEU_H49,DEU_H50,DEU_H51,DEU_H52,DEU_H53,DEU_I,DEU_J58T60,DEU_J61,DEU_J62_63,DEU_K,DEU_L,DEU_M,DEU_N,DEU_O,DEU_P,DEU_Q,DEU_R,DEU_S,DEU_T,MEX_A01_02,MEX_A03,MEX_B05_06,MEX_B07_08,MEX_B09,MEX_C10T12,MEX_C13T15,MEX_C16,MEX_C17_18,MEX_C19,MEX_C20,MEX_C21,MEX_C22,MEX_C23,MEX_C24,MEX_C25,MEX_C26,MEX_C27,MEX_C28,MEX_C29,MEX_C30,MEX_C31T33,MEX_D,MEX_E,MEX_F,MEX_G,MEX_H49,MEX_H50,MEX_H51,MEX_H52,MEX_H53,MEX_I,MEX_J58T60,MEX_J61,MEX_J62_63,MEX_K,MEX_L,MEX_M,MEX_N,MEX_O,MEX_P,MEX_Q,MEX_R,MEX_S,MEX_T,USA_A01_02,USA_A03,USA_B05_06,USA_B07_08,USA_B09,USA_C10T12,USA_C13T15,USA_C16,USA_C17_18,USA_C19,USA_C20,USA_C21,USA_C22,USA_C23,USA_C24,USA_C25,USA_C26,USA_C27,USA_C28,USA_C29,USA_C30,USA_C31T33,USA_D,USA_E,USA_F,USA_G,USA_H49,USA_H50,USA_H51,USA_H52,USA_H53,USA_I,USA_J58T60,USA_J61,USA_J62_63,USA_K,USA_L,USA_M,USA_N,USA_O,USA_P,USA_Q,USA_R,USA_S,USA_T,Mundo
CAN_A01_02,5790.2893,153.0071,7.8292,7.3941,2.2732,7652.7091,74.7506,5749.1399,1402.8075,6.297,31.4014,9.0128,139.6056,3.5984,5.8698,3.4556,0.8798,1.6145,2.2435,7.0179,1.2256,18.2974,24.2362,1.2435,290.4045,61.7444,29.2444,2.3743,9.5991,1.4489,1.0338,392.1247,2.9289,1.0404,1.1734,4.5677,5.0328,8.3328,2.8433,387.9205,8.2497,21.9325,0.9316,5.6864,0.0,23.6429,0.1953,0.0076,0.7557,0.0096,169.9447,46.8988,0.2031,9.0467,0.011,8.5165,4.7762,0.1381,3.0543,0.0521,0.1775,0.0212,0.0301,0.2322,0.046,0.0003,3.7757,1.3418,0.5302,2.2111,1.8921,0.0043,0.0027,0.0027,0.023,0.0006,8.5818,0.0069,0.0999,0.006,0.0202,0.0389,1.5083,0.7755,0.0038,0.1603,0.4002,0.016,0.0987,0.0,3.4331,0.0014,0.0349,0.0083,0.0006,98.9187,1.4125,0.5442,0.0731,0.0183,0.5539,0.1695,1.1222,0.0194,0.0196,0.0557,0.0251,0.0292,0.0829,0.0599,0.031,0.2549,0.0224,0.3344,0.7077,1.7933,0.1635,0.0334,0.0028,0.0862,0.0098,2.7362,0.0061,0.0235,0.0217,0.1115,1.9514,0.1231,0.0854,1.5015,0.302,1.0203,0.3005,0.203,0.0,17.6765,0.0873,0.004,0.0015,0.0006,75.2251,5.4017,0.7719,0.0047,0.003,1.0672,0.0106,0.1324,0.2701,0.005,0.003,0.0192,0.0044,0.0046,0.008,0.0017,0.109,0.0029,0.0004,0.6791,3.5141,0.0015,0.0,0.0004,0.0004,0.0001,0.0117,0.0004,0.0002,0.0001,0.0006,0.0013,0.0016,0.0021,0.0047,0.0702,0.0093,0.0008,0.0027,0.0,453.4267,0.0523,0.831,0.7299,0.2499,1027.5489,34.91,92.7371,26.6878,0.9698,56.8317,3.9963,9.6571,1.3657,0.8802,1.6409,1.2616,0.6411,1.875,2.868,0.3378,16.5825,1.4023,0.311,59.6492,50.4085,4.54,0.6229,2.3963,0.2021,0.6496,5.5571,1.3606,0.3499,0.4106,0.6958,3.1937,2.2901,5.8559,23.681,5.2042,2.6371,1.761,1.0574,0.0,1714.4395999999942
CAN_A03,78.3114,41.8536,0.0705,0.1385,0.1294,1769.4447,0.1559,0.0742,0.9292,0.0128,0.2063,7.263,0.2802,0.0391,0.0665,0.0393,0.0461,0.0224,0.033,0.0536,0.0251,0.0419,0.0273,0.0771,1.138,0.9475,0.3794,0.0133,0.455,0.0464,0.0275,64.4662,0.0778,0.025,0.1801,0.6284,0.0667,0.2108,0.2647,2.2727,0.2398,0.8154,0.0532,0.112,0.0,0.0414,0.0022,0.0,0.0012,0.0,0.2808,0.0744,0.0002,0.0142,0.0,0.0165,0.008,0.0002,0.0048,0.0001,0.0003,0.0001,0.0001,0.0004,0.0001,0.0,0.0059,0.0033,0.001,0.0035,0.0077,0.0,0.0,0.0001,0.0,0.0,0.0191,0.0,0.0002,0.0,0.0001,0.0001,0.0046,0.0019,0.0,0.0003,0.0007,0.0,0.0002,0.0,0.0072,0.001,0.0002,0.0002,0.0,0.1841,0.0022,0.0001,0.0004,0.0001,0.0025,0.0017,0.0019,0.0003,0.0002,0.0002,0.0002,0.0003,0.0004,0.0003,0.0,0.0007,0.0004,0.0008,0.0011,0.0041,0.0005,0.0003,0.0001,0.0003,0.0001,0.0122,0.0002,0.0001,0.0001,0.0003,0.003,0.0007,0.0018,0.0042,0.0011,0.0045,0.0016,0.0003,0.0,0.0314,0.0002,0.0,0.0,0.0,0.1359,0.0092,0.0011,0.0001,0.0,0.0019,0.0002,0.0002,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0011,0.0059,0.0,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0001,0.0,0.0,0.0,1.7291,6.4588,0.0062,0.0006,0.0003,141.26,0.0629,0.0003,0.0161,0.0014,1.0555,0.0106,0.0015,0.0024,0.0005,0.0014,0.0022,0.0003,0.001,0.0006,0.0002,0.0054,0.0003,0.0002,0.0222,16.529,0.0021,0.0545,0.0031,0.0001,0.0002,89.9504,0.004,0.0015,0.0009,0.0056,0.0006,0.8148,0.0103,9.517,1.7689,0.0939,4.4859,3.38,0.0,5.104199999999984
CAN_B05_06,154.1834,26.9227,32.3047,44.3982,11.9464,82.5413,7.0468,20.9048,156.8651,6375.8799,403.5873,4.1879,16.516,63.4264,372.1449,28.6715,2.7554,6.3081,19.9903,26.8986,6.6219,15.2565,451.0988,17.7372,71.1942,154.0967,170.409,20.1667,51.5995,13.2233,9.612,24.2705,11.472,8.1114,4.1368,63.9566,172.6745,6.8887,12.1493,93.7924,84.1485,43.57,3.4486,17.1875,0.0,0.0072,0.0004,0.0314,0.0149,0.0017,0.0069,0.0141,0.0043,0.0063,0.0138,0.023,0.0005,0.0047,0.0337,0.0586,0.0137,0.0195,0.0299,0.2126,0.0771,0.0005,0.0045,0.0291,0.0062,0.0766,0.0178,0.0133,0.0103,0.0047,0.0018,0.002,0.0009,0.0002,0.0032,0.004,0.0033,0.0025,0.0167,0.0059,0.0066,0.0014,0.0116,0.0001,0.0005,0.0,0.7269,0.0072,2.864,0.8071,0.2118,6.1228,1.4889,0.3557,6.3887,152.5892,17.3849,0.4923,1.5873,6.6971,8.6296,2.7533,0.5583,1.0695,1.8932,2.0973,0.3868,0.8521,37.9262,0.8879,0.9043,6.5279,0.2498,0.3151,0.0048,0.109,0.2178,1.8653,0.3476,0.1726,0.1932,1.2073,0.122,1.5,0.4335,3.1962,2.2172,3.5427,0.465,0.647,0.0,0.0019,0.0045,0.6955,0.0083,0.0536,0.0158,0.004,0.0007,0.0021,0.0144,32.8546,0.0195,0.005,0.1446,11.3337,0.0142,0.0248,0.1124,0.0675,0.0459,0.0072,0.0172,5.8996,0.0014,0.4134,0.0157,0.007,0.0,0.0014,0.0019,0.0002,0.0123,0.0006,0.0001,0.0,0.0007,0.0012,0.0005,0.0039,0.0024,0.0009,0.001,0.0014,0.0014,0.0,6.9657,0.1649,501.4676,3.0583,0.7926,2.2316,0.3748,0.7098,4.6132,5736.0208,142.9846,0.2877,1.0814,8.6697,11.739,1.2797,0.7593,1.2224,4.9672,2.3018,0.5704,1.1445,1273.5245,2.9856,27.24,7.4455,22.9904,1.6886,13.4296,0.9706,3.4768,4.895,0.6242,0.2617,0.347,3.4427,1.1582,2.8245,4.8645,368.4519,7.2239,2.0039,0.9233,1.1491,0.0,734.1205999999961
CAN_B07_08,122.608,28.5465,48.9397,75.8393,17.7471,13.7504,1.1038,3.0478,68.8987,35.1424,148.3085,0.7128,2.249,256.344,1539.7205,3.5707,1.9486,1.8734,6.1007,11.0443,1.3471,41.2697,47.699,3.3349,333.9631,55.909,115.0912,10.3202,47.6363,13.0717,3.9541,6.4826,3.4046,3.4236,3.038,12.2897,15.8751,5.2469,7.6275,95.967,15.8672,27.8949,1.4062,5.4036,0.0,0.0083,0.0003,0.1322,9.7812,0.001,0.0067,0.0097,0.0146,0.0041,0.1737,2.4592,0.003,0.7957,1.5131,72.7815,9.3065,0.1139,1.8812,3.4016,0.4206,0.0013,0.2533,0.0355,0.1158,3.52,0.0755,0.018,0.0097,0.005,0.0027,0.002,0.0014,0.0002,0.0018,0.002,0.0023,0.0019,0.1607,0.0481,0.0059,0.0008,0.006,0.0001,0.0099,0.0,0.1598,0.001,0.0345,2.6934,0.6953,0.3464,0.0021,0.0032,1.8279,0.9684,19.3092,1.4481,0.781,6.1847,575.4116,14.7913,0.7266,9.4583,3.2508,5.0625,0.2206,0.9824,0.0276,0.9545,1.7823,11.4017,0.0344,0.063,0.0004,0.1631,0.1068,2.0588,0.3202,0.1333,0.0047,0.0021,0.0452,0.8304,0.4909,0.134,0.0041,3.0828,0.4037,0.0649,0.0,0.0125,0.0395,0.0007,1.0382,0.555,0.3856,0.0363,0.0012,0.0372,0.044,0.7429,0.0005,0.0149,5.6016,7.1465,0.0165,0.0371,0.0608,0.0882,0.0484,0.0038,0.296,0.5395,0.0007,4.0334,0.0574,0.0049,0.0,0.0008,0.0047,0.0001,0.1226,0.0003,0.0003,0.0001,0.0001,0.0009,0.001,0.0035,0.0059,0.0003,0.0004,0.0013,0.0008,0.0,12.1939,0.1512,5.3503,38.0349,0.795,2.8465,0.2558,0.5025,7.0131,4.2673,141.3708,0.0917,0.6919,65.9675,626.9243,24.7393,7.1891,6.1578,7.7801,2.7407,1.8244,8.9026,7.2209,1.6316,123.7288,4.4933,19.8432,1.5499,12.3173,0.8502,3.1846,4.9901,12.1128,0.9862,0.927,3.1651,1.0617,6.8347,5.7221,39.5412,9.7007,1.7792,28.9257,12.0505,0.0,3874.452300000029
CAN_B09,2.1132,0.2975,979.4382,221.715,113.3264,1.3022,0.1684,0.1854,0.5134,0.1615,0.319,0.1607,0.2011,0.4077,0.4646,0.2418,0.3203,0.5674,6.4839,3.3807,0.3448,0.7635,1.6307,0.3817,1536.1752,2.6501,1.4142,0.121,1.6755,0.2305,0.1754,0.2915,0.8356,0.2944,1.8364,3.8695,0.8201,1.387,1.7588,2.8273,0.7541,1.9037,0.6032,0.7283,0.0,0.0052,0.0003,0.0796,0.0134,0.0015,0.0062,0.0115,0.0023,0.0052,0.0086,0.0127,0.0004,0.0037,0.0221,0.0449,0.0107,0.0157,0.0247,0.1794,0.0651,0.0004,0.0033,0.0188,0.004,0.0611,0.0109,0.0037,0.0024,0.0019,0.0009,0.0013,0.0005,0.0002,0.0027,0.0031,0.0025,0.0018,0.0116,0.0043,0.0047,0.001,0.0099,0.0001,0.0003,0.0,0.0092,0.0002,0.0615,0.0178,0.0041,0.0095,0.0019,0.0009,0.0099,0.1203,0.0207,0.0082,0.0075,0.0611,0.0125,0.0159,0.0052,0.0099,0.1277,0.028,0.004,0.0121,0.0186,0.0062,0.1054,0.0093,0.0018,0.0005,0.0004,0.0055,0.0004,0.0017,0.0011,0.001,0.003,0.0016,0.012,0.0046,0.0073,0.0202,0.0043,0.0047,0.0007,0.0014,0.0,0.0005,0.0005,0.0015,0.0051,0.0001,0.003,0.0028,0.0005,0.0016,0.0057,0.0019,0.0009,0.004,0.0019,0.0041,0.0119,0.0212,0.0176,0.0562,0.0392,0.0061,0.0135,0.0013,0.0012,0.0222,0.0126,0.0038,0.0,0.001,0.0013,0.0002,0.0004,0.0005,0.0001,0.0,0.0002,0.0009,0.0002,0.0032,0.0015,0.0004,0.0005,0.0012,0.0012,0.0,0.6395,0.0,1.4967,0.3612,0.2159,0.1723,0.0299,0.071,0.3521,0.0027,0.3816,0.0019,0.2875,0.0335,0.2571,0.4519,0.1743,0.2224,3.2409,1.8043,0.3204,0.4832,0.0045,0.0572,3.3397,0.3502,0.1018,0.0018,0.0093,0.0252,0.009,0.0722,0.1216,0.0788,0.0507,0.0393,0.0502,0.1225,0.2229,0.3978,0.1266,0.0788,0.0172,0.1532,0.0,8.537900000000043
CAN_C10T12,1217.1209,27.9676,28.3599,25.4618,9.21,4567.4211,52.1039,27.532,135.6073,13.5449,227.2079,73.1577,145.8699,18.5089,36.9572,39.8272,28.9335,22.4753,39.4745,81.896,23.8461,37.4602,25.07,3.9965,175.1413,236.3094,31.9382,2.5432,12.9278,7.4439,2.7085,3217.2614,19.0064,11.9063,12.6626,44.782,31.8656,28.0217,14.6714,73.7017,111.3159,397.8431,14.3359,21.6851,0.0,3.2584,0.0558,0.1312,0.1073,0.0129,10.8104,2.1479,0.1123,0.4663,0.161,3.9596,0.4085,0.936,0.4658,0.2839,0.133,0.7975,0.2822,0.5646,0.2273,0.0032,0.1104,0.8988,0.1627,0.5615,3.1358,0.056,0.0314,0.0496,0.0772,0.0086,2.535,0.0378,0.0719,0.0987,0.0432,0.0304,1.5525,0.4996,0.0499,0.0672,0.2751,0.0086,0.1004,0.0,1.0718,0.0004,0.0143,0.0409,0.0022,4.466,0.1934,0.1379,0.8048,0.1238,1.1431,0.2045,0.3973,0.1073,0.2461,0.2082,0.3059,0.2208,0.5206,0.294,0.1129,0.2331,0.0467,0.0361,0.4845,1.8938,0.0519,0.0107,0.0323,0.0216,0.0098,2.9883,0.0687,0.0261,0.0386,0.0404,0.0258,0.1411,0.0501,0.4725,0.1192,1.1063,0.0379,0.0917,0.0,2.7257,0.0343,0.08,0.0203,0.0084,11.0437,0.6273,0.0094,0.1676,0.0661,0.5409,0.0221,0.2099,0.0653,0.0674,0.1004,0.8208,0.169,0.1614,0.33,0.0333,0.0962,0.0657,0.01,0.2385,0.3736,0.0475,0.0008,0.0147,0.011,0.0028,0.525,0.0128,0.0122,0.0023,0.0153,0.0299,0.0516,0.066,0.0246,0.0312,0.0847,0.0339,0.0335,0.0,168.61,0.0287,3.2149,2.3366,0.8946,639.6786,21.8548,9.41,36.7009,4.896,94.3568,5.8421,35.8435,6.0927,8.2151,13.6577,21.0818,5.7732,15.0222,14.2159,5.6154,12.5417,0.9232,0.449,31.8061,42.0661,1.8374,1.637,2.2041,0.5361,0.3941,226.8841,3.8052,1.1886,0.5257,1.1409,11.1668,10.2114,3.3809,153.6744,77.9585,68.4665,19.5493,13.7621,0.0,774.5914000000006
CAN_C13T15,61.4995,66.8093,7.8681,10.7603,2.4088,41.5278,1201.7498,11.0846,154.2117,2.4848,49.2202,3.1222,59.2872,13.2907,7.6611,10.8879,7.0471,6.5583,10.7227,122.4073,5.6,207.9804,4.5486,1.5798,283.788,114.3583,19.8404,5.4925,1.4363,12.4726,2.2689,89.4125,8.3188,2.9199,2.6519,8.0488,4.5557,10.5738,4.0579,73.8227,32.0067,243.6124,3.265,32.0542,0.0,0.0194,0.0007,0.0152,0.0137,0.0006,0.1076,1.3192,0.0174,0.5529,0.0083,0.1478,0.0119,0.1105,0.222,0.042,0.0516,0.1012,0.0654,0.0745,0.0298,0.0004,0.1146,0.0371,0.0075,0.0598,0.09,0.0139,0.0033,0.0033,0.0147,0.0062,0.0098,0.011,0.005,0.0363,0.0137,0.0204,0.1172,0.031,0.0186,0.0148,0.0119,0.0003,0.0267,0.0,0.0314,0.008,0.0042,0.0355,0.001,0.5762,3.568,0.0387,1.8341,0.0182,0.3537,0.2213,0.3345,0.0593,0.0463,0.1285,0.1261,0.1109,0.2176,0.2919,0.057,0.4616,0.0192,0.0139,0.5066,0.8567,0.0192,0.0015,0.0044,0.013,0.0775,0.1462,0.1162,0.0168,0.0164,0.0516,0.0067,0.1034,0.0407,0.154,0.0543,0.2322,0.0339,0.0438,0.0,0.0524,0.0102,0.0018,0.0031,0.0005,0.159,2.8193,0.0024,0.3792,0.0051,0.0637,0.0048,0.1156,0.0381,0.0245,0.0494,0.2423,0.0717,0.0377,1.0387,0.0172,0.3449,0.003,0.0023,0.0838,0.3635,0.0752,0.0069,0.0118,0.0063,0.0013,0.0553,0.014,0.0019,0.0006,0.0091,0.0095,0.0284,0.0391,0.0733,0.0088,0.0182,0.0069,0.0098,0.0,2.0905,0.1536,0.2572,0.2228,0.0649,10.2127,133.6381,4.2267,35.552,0.2611,4.1936,0.4067,9.8817,1.9397,1.4907,2.6465,3.3689,1.1164,4.4333,22.1683,2.5169,21.229,0.0885,0.5693,17.7454,20.9265,0.5427,0.7991,0.1076,0.4032,0.5747,8.5195,2.9029,1.8282,0.1442,0.5689,0.5355,1.7289,2.6668,15.7134,3.1134,12.2636,0.9452,5.7953,0.0,95.51710000000067
CAN_C16,33.3248,35.2818,4.3882,3.8036,1.1014,11.595,18.1694,1046.6429,2221.7407,1.7907,10.2724,1.5368,33.9492,23.5415,20.4903,40.5894,4.9013,10.2104,16.6772,75.0558,5.2563,532.6442,14.8403,0.454,2425.7103,96.3185,9.457,0.1559,0.607,1.0512,3.3939,2.7889,1.5193,0.5398,1.45,3.7821,2.1947,1.4067,3.2617,8.2599,1.6532,3.7,1.1495,34.6409,0.0,0.1267,0.0074,0.0793,0.0461,0.0008,0.0401,0.0395,3.1571,0.3088,0.0273,0.0685,0.0021,0.0446,0.3628,0.141,0.2466,0.13,0.1756,0.6316,0.096,0.0004,0.663,0.2524,0.0563,5.8982,0.4816,0.0473,0.0151,0.0012,0.0627,0.0056,0.0242,0.0213,0.0165,0.005,0.0132,0.0627,0.4035,0.1358,0.0135,0.0743,0.065,0.0046,0.0147,0.0,0.3353,0.0018,0.0495,0.0551,0.0043,0.6463,0.0909,19.7645,0.5246,0.049,0.8516,0.0613,0.5236,0.2603,0.2173,1.6299,0.3795,0.5055,1.3881,1.4524,1.1036,10.6369,0.3548,0.4191,29.691,0.9977,0.237,0.0023,0.0032,0.0548,0.0338,0.2629,0.0474,0.096,0.0264,0.2079,1.2396,0.2275,0.1209,1.4327,0.8391,0.2455,0.1642,4.2383,0.0,0.0217,0.0003,0.0055,0.0268,0.0117,0.0384,0.0221,0.3052,0.0215,0.0049,0.0255,0.0048,0.0181,0.0458,0.0202,0.0491,0.2191,0.0485,0.0327,0.1112,0.0455,0.5954,0.0012,0.0017,0.4618,0.873,0.0082,0.0001,0.0041,0.0025,0.0016,0.0043,0.0011,0.0018,0.0001,0.0077,0.0032,0.0079,0.007,0.0016,0.0013,0.0055,0.001,0.0036,0.0,15.3307,1.0304,2.0966,5.9738,2.6335,12.6135,4.109,1486.717,365.4189,0.0699,16.4032,0.2006,94.9039,33.3611,15.9324,48.9163,26.0648,13.6198,57.0172,113.22,8.4207,559.1157,0.0278,0.372,2049.937,148.8939,37.7718,0.0435,0.0322,1.0693,1.2832,47.4481,54.6507,13.4226,15.3425,2.0116,108.7917,7.3016,9.9174,39.9938,48.7648,34.5266,7.4755,17.5696,0.0,1511.1054999999903
CAN_C17_18,64.8383,12.4042,36.1728,29.6669,7.5096,1008.8554,59.1636,41.118,4076.9552,17.7336,206.1232,69.4739,112.8716,66.1188,24.8855,36.1771,27.5594,64.4688,35.7667,88.2003,33.0351,122.8549,66.8899,18.9362,317.8872,762.8448,76.6875,9.1157,10.1422,78.6086,47.8353,181.7496,562.6254,852.9788,72.455,994.0031,78.1019,79.176,74.9225,38.7779,93.7286,222.491,186.5082,213.2267,0.0,0.2317,0.0185,0.2548,0.1957,0.007,6.0946,4.0716,1.1954,70.3616,0.1544,7.1447,0.8057,3.1908,22.7661,0.9962,1.9939,2.6602,5.9686,2.0171,0.3837,0.0021,3.0851,1.396,0.3262,0.4955,6.7504,0.6869,0.0762,0.1253,0.3166,0.544,0.2899,1.4341,0.1254,3.7386,1.3515,2.3404,9.3793,2.0381,1.3127,1.7291,0.43,0.0135,1.0531,0.0,0.8558,0.0473,0.1623,4.2449,0.0466,71.0237,8.4161,2.2978,246.5076,1.0874,38.9163,4.2822,7.7671,5.666,2.1271,7.4979,7.5654,7.3053,12.9059,5.8248,0.4968,9.0334,1.1017,0.8985,8.6597,64.8396,1.2326,0.0313,0.1026,1.131,1.5998,3.204,18.3211,1.9653,1.1191,4.8236,0.2824,10.5516,4.1506,12.1175,5.1203,5.682,1.0475,2.538,0.0,0.3906,0.0055,0.0072,0.013,0.0019,5.9733,1.4569,0.058,24.209,0.1065,2.7348,0.0145,1.37,2.2742,0.3602,0.9434,2.9721,1.4004,0.704,1.9519,0.1665,1.9954,0.0407,0.0237,0.4265,3.0742,1.4119,0.2024,0.0798,0.8292,0.2103,1.478,0.8621,0.0936,0.0368,1.1015,2.0654,2.9011,3.3653,1.971,0.8708,0.6576,0.4124,0.4103,0.0,13.7875,0.008,4.4572,6.0319,1.2399,1005.3787,64.1821,27.3565,3622.8604,3.2463,297.2543,24.6321,220.8174,118.3382,78.6771,102.413,135.7308,66.0909,153.4881,88.4671,23.5226,192.7985,0.2322,9.3357,182.1076,383.311,26.1723,0.8606,2.2873,49.0202,18.5109,180.0582,323.0127,12.3438,10.1879,69.9232,12.5962,108.4629,132.8481,429.6265,175.9844,268.3636,11.2941,40.5277,0.0,4621.172100000009
CAN_C19,1068.7758,223.4647,70.7645,95.3852,60.0546,40.6547,3.2023,23.5547,152.7174,262.3241,1139.3059,4.847,8.7905,46.3765,160.0838,17.3815,1.7193,7.5587,15.006,31.6835,3.7317,35.8065,147.0084,28.2826,399.8019,517.5944,1036.885,85.8277,448.1851,61.8991,36.5081,40.0591,16.9697,31.282,10.4751,87.5498,149.8666,15.6321,61.1636,195.3945,70.5915,63.0013,7.4911,47.0122,0.0,0.0183,0.0008,0.0161,0.0128,0.0018,0.0898,0.0669,0.0188,0.797,0.0353,0.1534,0.0098,0.05,0.3048,0.0641,0.0314,0.0525,0.08,0.0653,0.0209,0.0003,0.0409,0.0853,0.0182,0.0607,0.1185,0.0862,0.0684,0.0255,0.0116,0.0104,0.0066,0.016,0.003,0.0439,0.0196,0.0284,0.1253,0.0306,0.0232,0.0205,0.0091,0.0002,0.0142,0.0,0.0139,0.0005,0.0024,0.0484,0.0006,0.8024,0.0955,0.0277,2.7495,0.0217,0.4535,0.0628,0.093,0.0689,0.03,0.0877,0.089,0.0856,0.1627,0.0708,0.008,0.1109,0.0144,0.012,0.1118,0.7326,0.016,0.0006,0.0027,0.0121,0.0162,0.0349,0.1647,0.0211,0.017,0.0494,0.0017,0.1141,0.0445,0.1427,0.0573,0.0698,0.0125,0.0291,0.0,0.0079,0.0009,0.0017,0.0019,0.0015,0.0719,0.0147,0.0007,0.2618,0.003,0.0374,0.0022,0.0167,0.0297,0.0075,0.012,0.0465,0.0193,0.0155,0.0282,0.0022,0.0261,0.0042,0.0007,0.0222,0.0372,0.0368,0.0015,0.003,0.0031,0.0002,0.0177,0.004,0.002,0.0002,0.0123,0.0051,0.0224,0.0182,0.0235,0.0082,0.01,0.0032,0.0024,0.0,44.8944,1.463,18.4681,12.4152,5.3869,22.4272,3.1273,4.8281,64.8516,39.6622,64.7833,1.1528,7.7118,23.7124,17.9843,7.623,6.3694,9.2355,12.5944,2.9901,1.6651,7.8251,69.0056,14.4803,119.8799,41.739,181.4423,14.9823,119.1148,8.5914,30.9562,18.625,6.6385,1.1565,2.5455,30.9525,10.0574,11.0679,39.9395,287.9122,63.4448,12.704,3.898,7.3527,0.0,110.23810000000093
